0.023, 1.45, 1.09, 10.84, 0.22, 0.06, -0.10, -9.33, -1.37, 1.29, 0.24, 0.00, -0.02, -9.39, 1.16, 0.94, 0.11, -0.06, -0.01
0.057, 1.51, 1.28, 11.04, 0.25, 0.07, -0.12, -9.56, -1.44, 1.49, 0.25, -0.02, -0.01, -9.66, 1.44, 0.97, 0.12, -0.06, 0.02
0.091, 1.51, 1.59, 11.05, 0.21, 0.06, -0.09, -9.55, -1.45, 1.76, 0.23, 0.02, -0.02, -9.62, 1.66, 0.98, 0.09, -0.06, -0.03
0.125, 1.56, 1.47, 11.09, 0.20, 0.07, -0.07, -9.65, -1.46, 1.62, 0.20, 0.03, -0.01, -9.79, 1.45, 1.03, 0.07, -0.05, -0.04
0.159, 1.58, 1.19, 11.43, 0.20, 0.04, -0.06, -9.97, -1.53, 1.35, 0.20, 0.02, -0.05, -10.04, 1.19, 1.05, 0.07, -0.09, -0.02
0.193, 1.54, 0.93, 11.32, 0.24, 0.01, -0.10, -9.81, -1.49, 1.11, 0.24, -0.01, -0.08, -9.91, 0.92, 0.99, 0.11, -0.12, 0.01
0.227, 1.45, 1.25, 11.26, 0.26, -0.01, -0.13, -9.78, -1.37, 1.42, 0.27, -0.03, -0.09, -9.88, 1.39, 0.91, 0.13, -0.14, 0.02
0.261, 1.40, 1.16, 11.04, 0.21, -0.02, -0.11, -9.48, -1.33, 1.31, 0.25, 0.02, -0.10, -9.63, 1.16, 0.88, 0.12, -0.15, -0.03
0.295, 1.49, 1.11, 11.08, 0.20, -0.02, -0.12, -9.56, -1.44, 1.33, 0.26, 0.03, -0.11, -9.62, 1.24, 1.02, 0.12, -0.15, -0.04
0.329, 1.63, 1.32, 10.77, 0.18, -0.02, -0.11, -9.23, -1.51, 1.53, 0.25, 0.05, -0.10, -9.31, 1.41, 1.07, 0.11, -0.14, -0.06
0.363, 1.62, 1.36, 11.09, 0.13, -0.00, -0.09, -9.64, -1.53, 1.51, 0.23, 0.10, -0.09, -9.84, 1.32, 1.10, 0.10, -0.13, -0.12
0.397, 1.70, 0.88, 11.46, 0.16, -0.06, -0.12, -9.96, -1.69, 1.17, 0.27, 0.06, -0.15, -9.98, 1.02, 1.25, 0.14, -0.20, -0.05
0.431, 1.81, 1.44, 10.67, 0.26, -0.10, -0.17, -9.15, -1.69, 1.72, 0.31, -0.04, -0.19, -9.12, 1.62, 1.25, 0.17, -0.23, 0.03
0.465, 1.76, 1.82, 10.37, 0.22, -0.04, -0.14, -8.96, -1.60, 2.04, 0.27, 0.01, -0.12, -9.16, 1.92, 1.21, 0.13, -0.15, -0.02
0.499, 1.70, 1.69, 10.82, 0.22, -0.03, -0.09, -9.32, -1.61, 1.94, 0.23, -0.00, -0.11, -9.35, 1.83, 1.19, 0.09, -0.15, -0.00
0.533, 1.74, 2.02, 10.43, 0.25, 0.01, -0.04, -8.94, -1.61, 2.19, 0.17, -0.02, -0.07, -9.03, 2.03, 1.23, 0.02, -0.11, 0.01
0.567, 1.75, 1.77, 10.30, 0.23, 0.05, 0.02, -8.76, -1.64, 1.98, 0.11, -0.00, -0.02, -8.73, 1.80, 1.26, -0.02, -0.06, -0.00
0.600, 1.84, 2.04, 10.26, 0.25, 0.14, 0.07, -8.80, -1.67, 2.24, 0.06, -0.02, 0.07, -9.00, 2.13, 1.29, -0.09, 0.03, 0.00
0.635, 1.74, 1.45, 11.16, 0.18, 0.15, 0.14, -9.62, -1.68, 1.59, -0.00, 0.05, 0.06, -9.70, 1.42, 1.24, -0.14, 0.02, -0.07
0.669, 1.78, 1.14, 10.61, 0.21, 0.14, 0.13, -9.12, -1.70, 1.35, 0.01, 0.01, 0.06, -9.17, 1.14, 1.25, -0.13, 0.03, -0.02
0.703, 1.78, 1.36, 11.35, 0.23, 0.16, 0.11, -9.89, -1.71, 1.57, 0.03, -0.00, 0.07, -10.04, 1.48, 1.30, -0.11, 0.02, -0.01
0.737, 1.85, 1.60, 11.09, 0.21, 0.11, 0.15, -9.53, -1.73, 1.75, -0.02, 0.02, 0.03, -9.60, 1.64, 1.31, -0.16, -0.01, -0.04
0.771, 1.81, 0.95, 11.32, 0.20, 0.12, 0.18, -9.91, -1.74, 1.04, -0.04, 0.02, 0.04, -10.12, 0.85, 1.24, -0.18, -0.00, -0.03
0.805, 1.65, 0.42, 11.59, 0.22, 0.05, 0.14, -10.01, -1.62, 0.53, 0.00, 0.00, -0.04, -10.05, 0.33, 1.11, -0.13, -0.08, -0.02
0.839, 1.66, 0.26, 11.15, 0.23, 0.05, 0.07, -9.78, -1.55, 0.54, 0.08, -0.01, -0.03, -9.93, 0.47, 1.06, -0.06, -0.07, 0.00
0.873, 1.56, 0.17, 11.60, 0.29, 0.03, 0.09, -10.04, -1.50, 0.23, 0.05, -0.06, -0.05, -10.12, -0.00, 0.97, -0.09, -0.09, 0.04
0.907, 1.58, -1.08, 11.37, 0.19, 0.05, 0.01, -9.83, -1.62, -1.01, 0.14, 0.04, -0.04, -10.12, -1.23, 0.98, 0.02, -0.07, -0.06
0.941, 1.54, -1.29, 12.49, 0.13, -0.03, -0.18, -10.95, -1.66, -1.13, 0.33, 0.09, -0.12, -11.19, -1.29, 0.95, 0.22, -0.18, -0.11
0.975, 1.58, -0.83, 11.81, 0.08, -0.15, -0.33, -10.20, -1.61, -0.66, 0.48, 0.16, -0.24, -10.45, -0.67, 1.06, 0.36, -0.29, -0.18
1.010, 1.66, -0.02, 12.49, -0.15, -0.24, -0.37, -10.88, -1.63, 0.07, 0.51, 0.40, -0.34, -11.20, -0.01, 1.10, 0.39, -0.39, -0.44
1.043, 1.81, -0.64, 11.66, -0.32, -0.37, -0.35, -10.00, -1.77, -0.66, 0.50, 0.56, -0.46, -10.03, -0.98, 1.28, 0.39, -0.50, -0.57
1.077, 2.13, -1.77, 11.06, -0.31, -0.38, -0.49, -9.53, -2.16, -1.52, 0.65, 0.54, -0.47, -9.60, -1.60, 1.53, 0.55, -0.51, -0.53
1.112, 2.37, -0.78, 10.16, -0.23, -0.36, -0.61, -8.84, -2.30, -0.39, 0.76, 0.45, -0.43, -8.89, -0.43, 1.82, 0.64, -0.47, -0.42
1.145, 2.35, -0.35, 10.78, -0.07, -0.30, -0.64, -9.31, -2.34, -0.18, 0.78, 0.30, -0.38, -9.57, -0.25, 1.82, 0.67, -0.42, -0.31
1.179, 2.52, 1.10, 11.40, -0.17, -0.34, -0.63, -9.83, -2.44, 1.39, 0.76, 0.41, -0.43, -10.00, 1.47, 2.06, 0.63, -0.48, -0.42
1.214, 2.65, 1.31, 10.57, -0.30, -0.40, -0.46, -8.72, -2.44, 1.24, 0.59, 0.56, -0.49, -8.73, 0.86, 2.05, 0.46, -0.52, -0.59
1.247, 2.88, -0.46, 9.20, -0.53, -0.24, -0.52, -7.96, -2.81, -0.01, 0.67, 0.77, -0.30, -8.17, -0.01, 2.31, 0.58, -0.31, -0.75
1.281, 2.79, 1.63, 11.03, -0.19, -0.15, -0.55, -9.70, -2.63, 2.08, 0.67, 0.39, -0.24, -9.64, 1.95, 2.27, 0.54, -0.28, -0.35
1.315, 2.81, 0.51, 9.87, -0.15, -0.12, -0.45, -8.23, -2.72, 0.53, 0.59, 0.41, -0.19, -8.42, 0.35, 2.31, 0.48, -0.21, -0.42
