timestamp,value_0,value_1,value_2
1764891501624,8.753501,-0.33997664,5.2028995
1764891501624,8.794202,-0.34476504,5.269937
1764891501626,8.877999,-0.34955344,5.3752823
1764891501628,8.949825,-0.34476504,5.4399257
1764891501630,9.002498,-0.35913026,5.4614735
1764891501642,9.107842,-0.36870706,5.430349
1764891501642,9.158121,-0.35434186,5.3441577
1764891501642,9.172486,-0.35434186,5.3010616
1764891501642,9.172486,-0.32321724,5.2028995
1764891501642,9.155726,-0.29927522,5.0688243
1764891501646,9.136573,-0.2753332,4.9993925
1764891501646,9.07193,-0.23223756,4.8698063
1764891501646,8.980949,-0.20350714,4.7548847
1764891501665,8.9163065,-0.17477672,4.7022123
1764891501665,8.777443,-0.1316811,4.6016555
1764891501665,8.698434,-0.11252748,4.477157
1764891501665,8.674492,-0.11492168,4.4101195
1764891501665,8.633791,-0.093373865,4.2999864
1764891501665,8.638579,-0.14604631,4.158728
1764891501665,8.638579,-0.14604631,4.158728
1764891501665,8.652945,-0.15083471,4.1539397
1764891501665,8.662521,-0.14844051,4.158728
1764891501666,8.688857,-0.16519992,4.1922474
1764891501668,8.729559,-0.18674773,4.2425256
1764891501671,8.765471,-0.19871874,4.271256
1764891501673,8.832509,-0.20111294,4.3167458
1764891501674,8.923489,-0.21068975,4.381389
1764891501680,9.004891,-0.21547815,4.525041
1764891501680,9.05517,-0.18435353,4.6136265
1764891501682,9.0839,-0.1604115,4.656722
1764891501695,9.126996,-0.1388637,4.7405195
1764891501695,9.117419,-0.14604631,4.805163
1764891501695,9.110237,-0.15801731,4.8267107
1764891501695,9.086295,-0.17477672,4.8506527
1764891501695,9.064747,-0.20350714,4.8506527
1764891501695,9.014469,-0.21547815,4.84347
1764891501839,8.9641905,-0.22984336,4.829105
1764891501839,8.837297,-0.24181437,4.7405195
1764891501839,8.837297,-0.24181437,4.7405195
1764891501839,8.791808,-0.22744916,4.7261543
1764891501839,8.755895,-0.22266077,4.699818
1764891501839,8.703222,-0.20350714,4.6471453
1764891501839,8.674492,-0.17477672,4.6232033
1764891501839,8.652945,-0.15562311,4.6136265
1764891501839,8.612243,-0.11731588,4.594473
1764891501839,8.607454,-0.095768064,4.6112323
1764891501839,8.607454,-0.10055647,4.6232033
1764891501839,8.612243,-0.090979666,4.6351743
1764891501839,8.624214,-0.074220255,4.6662993
1764891501839,8.6218195,-0.079008654,4.673482
1764891501839,8.633791,-0.059855044,4.7022123
1764891501839,8.643368,-0.07182605,4.7309427
1764891501839,8.698434,-0.06703765,4.745308
1764891501839,8.729559,-0.08379706,4.7620673
1764891501839,8.729559,-0.093373865,4.771644
1764891501839,8.746318,-0.095768064,4.7788267
1764891501839,8.767866,-0.110133275,4.7860093
1764891501839,8.779837,-0.11252748,4.783615
1764891501839,8.784625,-0.12210429,4.781221
1764891501839,8.78702,-0.11731588,4.7788267
1764891501839,8.791808,-0.10295067,4.76925
1764891501839,8.808567,-0.095768064,4.7309427
1764891501839,8.806173,-0.11252748,4.697424
1764891501839,8.79899,-0.11492168,4.6806645
1764891501839,8.782231,-0.08619126,4.6399627
1764891501839,8.784625,-0.079008654,4.596867
1764891501839,8.779837,-0.079008654,4.5801077
1764891501839,8.763078,-0.062249243,4.572925
1764891501839,8.758289,-0.062249243,4.5681367
1764891501839,8.763078,-0.05746084,4.5561657
1764891501839,8.78702,-0.050278235,4.5561657
1764891501839,8.772655,-0.035913024,4.570531
1764891501839,8.739136,-0.045489833,4.560954
1764891501839,8.712799,-0.045489833,4.5633483
1764891501839,8.708011,-0.033518825,4.55856
1764891501839,8.698434,-0.0023942017,4.5513773
1764891501839,8.684069,0.016759412,4.534618
1764891501839,8.648156,0.038307227,4.5274353
1764891501839,8.648156,0.038307227,4.5274353
1764891501839,8.657733,0.055066638,4.546589
1764891501839,8.65055,0.062249243,4.5537715
1764891501839,8.633791,0.08379706,4.537012
1764891501839,8.640973,0.088585466,4.534618
1764891501839,8.626608,0.093373865,4.5441947
1764891501839,8.617031,0.076614454,4.572925
1764891501839,8.609849,0.06703765,4.594473
1764891501839,8.607454,0.074220255,4.606444
1764891501839,8.614637,0.074220255,4.6040497
1764891501839,8.612243,0.05746084,4.5992613
1764891501839,8.626608,0.04309563,4.6255975
1764891501839,8.624214,0.023942016,4.630386
1764891501839,8.600272,0.023942016,4.63278
