timestamp,value_0,value_1,value_2
1764841620958,0.06780604,-0.053145275,0.011301007
1764841620958,0.069027774,-0.065973446,0.0027488936
1764841620958,0.06719518,-0.086132,-0.0076358155
1764841620958,0.069027774,-0.09101892,-0.013133603
1764841620958,0.07086037,-0.10629055,-0.025350908
1764841620958,0.07269296,-0.12889257,-0.043676864
1764841620959,0.07269296,-0.13805555,-0.05100725
1764841620961,0.06719518,-0.15027285,-0.06566802
1764841620963,0.06414085,-0.15760323,-0.0729984
1764841620965,0.055588737,-0.1600467,-0.08277224
1764841620967,0.040927973,-0.16615535,-0.093767814
1764841620975,0.032375857,-0.16982053,-0.09193522
1764841620975,0.009773844,-0.17165314,-0.08827003
1764841620975,-0.017104227,-0.16187929,-0.07360926
1764841620977,-0.032986723,-0.15577064,-0.06505715
1764841620977,-0.06291912,-0.14110987,-0.05100725
1764841620979,-0.09162979,-0.12705997,-0.03390302
1764841620981,-0.10567969,-0.12156218,-0.026572637
1764841620983,-0.12217305,-0.10445796,-0.011911872
1764841620994,-0.13622294,-0.086132,9.162979E-4
1764841620994,-0.1423316,-0.080634214,0.004581489
1764841620994,-0.14477506,-0.06169739,0.014966198
1764841620994,-0.14110987,-0.059864793,0.019242255
1764841620994,-0.1386664,-0.051923547,0.02107485
1764841620995,-0.12950343,-0.03970624,0.024740042
1764841620997,-0.12461651,-0.036651913,0.025350908
1764841620999,-0.106901415,-0.022602014,0.025350908
1764841621008,-0.092240654,-0.017104227,0.022296581
1764841621008,-0.08552113,-0.01160644,0.023518313
1764841621008,-0.07391469,-0.004276057,0.020463986
1764841621008,-0.06291912,0.010995574,0.01863139
1764841621071,-0.059253927,0.01282817,0.016798794
1764841621071,-0.0580322,0.019547688,0.0125227375
1764841621071,-0.056199603,0.023823744,0.0143553335
1764841621071,-0.052534413,0.028710667,0.013744468
1764841621071,-0.05375614,0.019547688,0.0143553335
1764841621071,-0.05497787,0.019547688,0.01863139
1764841621071,-0.059864793,0.020158553,0.01863139
1764841621071,-0.059864793,0.018936822,0.016187929
1764841621071,-0.062308256,0.028099801,0.015577064
1764841621071,-0.062308256,0.021991149,0.01740966
1764841621071,-0.06291912,0.02321288,0.0143553335
