timestamp,value_0,value_1,value_2
1764841620958,-0.24660277,1.1180922,9.885958
1764841620958,-0.24660277,1.1180922,9.885958
1764841620958,-0.1604115,1.0893618,9.9194765
1764841620958,-0.110133275,1.0821792,9.941025
1764841620958,-0.0047884034,1.0654198,9.964967
1764841620958,0.08379706,1.0510546,9.929053
1764841620959,0.107739076,1.0414777,9.897929
1764841620961,0.12928689,1.0151415,9.809343
1764841620963,0.10534488,1.0103531,9.701605
1764841620965,0.093373865,1.0247183,9.646538
1764841620967,0.059855044,1.0414777,9.502886
1764841620975,-0.095768064,1.0342951,9.335292
1764841620975,-0.21787235,1.0366893,9.244312
1764841620975,-0.35194764,1.0773908,9.086295
1764841620977,-0.37349546,1.1133038,9.0432
1764841620977,-0.38307226,1.1827357,9.004891
1764841620979,-0.34476504,1.2449849,9.028834
1764841620981,-0.320823,1.2545617,9.064747
1764841620983,-0.25378537,1.2689269,9.148544
1764841620994,-0.16519992,1.2593501,9.249101
1764841620994,0.033518825,1.2330139,9.402329
1764841620994,0.033518825,1.2330139,9.402329
1764841620994,0.079008654,1.2138603,9.438242
1764841620994,0.11492168,1.2018893,9.483732
1764841620995,0.1604115,1.2425907,9.560347
1764841620997,0.21308395,1.2593501,9.603442
1764841620999,0.22266077,1.2593501,9.613019
1764841621008,0.24420857,1.2401965,9.629779
1764841621008,0.22984336,1.2258313,9.5795
1764841621008,0.22026655,1.2042835,9.543588
1764841621008,0.19871874,1.1803415,9.495703
1764841621070,0.19632454,1.163582,9.43106
1764841621070,0.15083471,1.1540052,9.397541
1764841621070,0.11731588,1.1707647,9.356839
1764841621070,0.107739076,1.1827357,9.366416
1764841621070,0.08619126,1.2521675,9.371204
1764841621070,0.023942016,1.2880806,9.342474
1764841621070,0.007182605,1.292869,9.32332
1764841621070,0.0023942017,1.3072342,9.263466
1764841621070,-0.031124622,1.3144168,9.229947
1764841621070,-0.05746084,1.3790601,9.1868515
1764841621070,-0.05746084,1.3790601,9.1868515
1764841621070,-0.07182605,1.3838485,9.184457
1764841621070,-0.08619126,1.3910311,9.184457
1764841621070,-0.095768064,1.4341269,9.179668
1764841621070,-0.12210429,1.4532804,9.1868515
1764841621070,-0.1436521,1.4341269,9.189245
1764841621070,-0.15562311,1.4389153,9.196428
1764841621070,-0.16280572,1.4030021,9.184457
1764841621070,-0.16280572,1.3838485,9.160515
1764841621071,-0.10055647,1.3335704,9.062353
1764841621071,-0.050278235,1.2976574,9.000103
1764841621071,0.0023942017,1.2785037,9.00968
1764841621071,0.031124622,1.2856863,9.074324
1764841621071,0.031124622,1.2761095,9.091084
1764841621071,0.06703765,1.2354081,9.110237
1764841621071,0.045489833,1.1803415,9.1629095
1764841621071,0.047884032,1.163582,9.19164
1764841621071,0.04070143,1.1252748,9.237129
1764841621071,0.023942016,1.1061212,9.34008
1764841621077,0.023942016,1.0319009,9.603442
1764841621077,0.023942016,1.0319009,9.603442
1764841621077,0.023942016,1.0319009,9.603442
1764841621077,0.009576807,1.0295067,9.656115
1764841621077,-0.035913024,1.0199299,9.742306
1764841621077,-0.088585466,1.0055647,9.823709
1764841621080,-0.10055647,0.9959879,9.840468
1764841621081,-0.15083471,0.9672575,9.881169
1764841621083,-0.18195933,0.9744401,9.902718
1764841621097,-0.24420857,0.9648633,9.902718
1764841621097,-0.31603462,0.94570965,9.890746
1764841621097,-0.34476504,0.93613285,9.885958
